district,info,latitude,longitude,count,update_date,update_year,update_month,lamp_addr,depth1,depth2,main_addr_no,sub_addr_no,latitude,longitude,address
관악구,"AD034 1-1RZ 미성동 산 191-16, 문성터널 위 등산로길",37.4787,126.9202,1,1,2022.0,12.0,,서울,관악구,191,16,,,서울 관악구 신림동 산 191-16
관악구,"AD035 1-1RZ 미성동 산 197-5, 문성터널 차량 출입로쪽 등산로길",37.4784,126.9186,1,1,2022.0,12.0,,서울,관악구,197,5,,,서울 관악구 신림동 산 197-5
관악구,AE001 1-1RZ 신원동 산 159-44,37.4762,126.9254,1,1,2022.0,12.0,,서울,관악구,159,44,,,서울 관악구 신림동 산 159-44
관악구,AE002 1-1RZ 보라매동 산 104-1,37.4895,126.939,1,1,2022.0,12.0,,서울,관악구,104,1,,,서울 관악구 봉천동 산 104-1
관악구,AE003 1-1RZ 청룡동 산 149-8,37.4808,126.9357,1,1,2022.0,12.0,,서울,관악구,149,13,,,서울 관악구 봉천동 산 149-13
관악구,AE004 1-1RZ 삼성동 1714(녹지연결로#01),37.4612,126.9249,1,1,2022.0,12.0,,서울,관악구,87,11,,,서울 관악구 신림동 산 87-11
관악구,AE005 1-1RZ 삼성동 1714(녹지연결로#02),37.4614,126.9249,1,1,2022.0,12.0,,서울,관악구,87,16,,,서울 관악구 신림동 산 87-16
관악구,AE007 1-2RZ 신사동 498(공원내#02),37.4862,126.9114,1,1,2022.0,12.0,,서울,관악구,534,,,,서울 관악구 신림동 534
관악구,AE006 1-1RZ 신사동 498(공원내#01),37.4883,126.9149,1,1,2022.0,12.0,,서울,관악구,498,,,,서울 관악구 신림동 498
관악구,AE007 2-2SZ 신사동 498(공원내#03),37.4862,126.9115,1,1,2022.0,12.0,,서울,관악구,534,,,,서울 관악구 신림동 534
관악구,AE008 1-3RZ 삼성동 산 57-14 (삼성산성지),37.4568,126.9294,1,1,2022.0,12.0,,서울,관악구,57,14,,,서울 관악구 신림동 산 57-14
